Zeit t / s,Spannung U_A1 / V,Spannung U_B1 / V
0,0.19605,0.00225
0.1,0.198,-0.0121
0.201,0.19905,-0.0286
0.301,0.19815,-0.01465
0.4,0.19815,-0.01515
0.5,0.19815,-0.01555
0.601,0.1983,-0.0322
0.7,0.19875,-0.0179
0.8,0.19845,-0.01935
0.9,0.1986,-0.02055
1.001,0.1986,-0.03525
1.1,0.19995,-0.0226
1.201,0.19875,-0.0372
1.3,0.19995,-0.02485
1.4,0.19965,-0.026
1.501,0.19845,-0.03915
1.6,0.19905,-0.0282
1.7,0.1989,-0.0287
1.8,0.19845,-0.03035
1.9,0.19845,-0.0427
2.001,0.19845,-0.04315
2.1,0.19845,-0.01815
2.2,0.1983,-0.0341
2.301,0.1989,-0.045
2.4,0.19815,-0.03515
2.501,0.19905,-0.0467
2.6,0.1986,-0.0374
2.7,0.1986,-0.03765
2.801,0.19935,-0.048
2.9,0.19845,-0.03895
2.999,0.1995,-0.0268
3.1,0.19845,-0.04055
3.2,0.1983,-0.04155
3.3,0.1983,-0.04215
3.4,0.1983,-0.04325
3.499,0.19845,-0.032
3.6,0.19875,-0.04455
3.7,0.1986,-0.0443
3.8,0.19905,-0.0452
3.9,0.19905,-0.04565
4,0.1992,-0.0465
4.1,0.1992,-0.04695
4.2,0.1986,-0.0375
4.3,0.19845,-0.0385
4.4,0.19905,-0.04795
4.5,0.19905,-0.04915
4.6,0.1983,-0.0405
4.7,0.1986,-0.0492
4.8,0.19845,-0.05055
4.9,0.19845,-0.05115
5,0.198,-0.051
5.101,0.1932,-0.0571
5.201,0.1926,-0.0567
5.301,0.19725,-0.0528
5.401,0.19695,-0.05295
5.5,0.1965,-0.0537
5.6,0.19605,-0.05355
5.7,0.19605,-0.05395
5.801,0.1953,-0.05415
5.9,0.19485,-0.05535
6.001,0.19485,-0.05575
6.1,0.1944,-0.05635
6.201,0.18975,-0.05895
6.3,0.19395,-0.0569
6.4,0.1938,-0.05695
6.5,0.19365,-0.0578
6.6,0.19335,-0.0579
6.7,0.1932,-0.06075
6.8,0.192,-0.0656
6.9,0.19185,-0.0603
7.001,0.1917,-0.0708
7.1,0.19155,-0.0709
7.2,0.19155,-0.06805
7.3,0.19335,-0.0876
7.401,0.19125,-0.086
7.5,0.1932,-0.08705
7.6,0.19305,-0.08555
7.7,0.19275,-0.08695
7.801,0.1902,-0.0796
7.9,0.1926,-0.0849
8,0.19155,-0.08445
8.1,0.1911,-0.0848
8.2,0.19155,-0.0853
8.3,0.1914,-0.08585
8.401,0.18945,-0.0747
8.5,0.19125,-0.08555
8.601,0.19005,-0.0743
8.7,0.19065,-0.0862
8.8,0.1905,-0.08575
8.901,0.18975,-0.06535
9.001,0.19155,-0.0863
9.1,0.1884,-0.06885
9.2,0.18825,-0.064
9.3,0.18885,-0.0658
9.4,0.1878,-0.0663
9.5,0.1875,-0.05035
9.601,0.18765,-0.04185
9.701,0.1872,-0.0533
9.801,0.18735,-0.05395
9.9,0.1866,-0.0436
9.999,0.1878,-0.0566
10.1,0.18675,-0.05105
10.199,0.1884,-0.0535
10.3,0.18795,-0.05145
10.399,0.18795,-0.05125
10.5,0.18795,-0.03925
10.6,0.18765,-0.0472
10.701,0.18705,-0.04705
10.8,0.1866,-0.04785
10.899,0.1866,-0.0524
10.999,0.18585,-0.0539
11.1,0.18525,-0.0458
11.2,0.1845,-0.0452
11.3,0.18375,-0.04445
11.4,0.1833,-0.0427
11.499,0.18315,-0.0487
11.599,0.18105,-0.04935
11.7,0.1788,-0.04155
11.801,0.1776,-0.02945
11.9,0.17715,-0.0403
12,0.17595,-0.03985
12.1,0.1746,-0.03905
12.201,0.1737,-0.0259
12.3,0.17265,-0.0379
12.4,0.171,-0.0368
12.5,0.16965,-0.0362
12.601,0.16815,-0.0226
12.7,0.16665,-0.03495
12.801,0.1653,-0.0212
12.9,0.1644,-0.03385
12.999,0.16455,-0.0438
13.1,0.1626,-0.0324
13.2,0.16185,-0.0317
13.301,0.1611,-0.0312
13.4,0.16035,-0.03055
13.501,0.1599,-0.01635
13.602,0.1599,-0.0021
13.7,0.15795,-0.0285
13.8,0.15735,-0.0276
13.901,0.1572,-0.014
14,0.15585,-0.02635
14.1,0.15525,-0.025
14.2,0.15465,-0.02425
14.3,0.15435,-0.0239
14.401,0.15465,-0.0104
14.501,0.15345,-0.0218
14.6,0.1548,0.0054
14.701,0.15225,-0.0215
14.8,0.15225,-0.0195
14.9,0.15165,-0.03295
15,0.1512,-0.0051
15.1,0.1512,-0.0187
15.201,0.15135,-0.00435
15.301,0.15105,-0.0029
15.401,0.15,-0.0179
15.5,0.1491,-0.0154
15.6,0.14925,-0.0156
15.7,0.14865,-0.0156
15.8,0.1485,-0.0131
15.9,0.14805,-0.0144
16,0.1473,-0.0123
16.101,0.1479,0.0017
16.2,0.14685,-0.0113
16.301,0.14745,0.0038
16.401,0.147,0.00505
16.5,0.14595,-0.00955
16.601,0.14565,-0.0088
16.7,0.14535,-0.0085
16.801,0.1458,0.0081
16.9,0.14475,-0.0067
17,0.14445,-0.0059
17.1,0.14415,-0.00485
17.199,0.14295,-0.0183
17.3,0.1428,-0.01795
17.4,0.1434,-0.00325
17.501,0.14355,0.01245
17.6,0.1425,-0.0017
17.7,0.14205,-0.00085
17.8,0.14175,0.0004
17.901,0.14145,0.0008
18,0.14115,0.00155
18.1,0.141,0.0026
18.2,0.1407,0.00345
18.3,0.14055,0.00395
18.4,0.14025,0.005
18.5,0.13995,0.0057
18.599,0.1389,-0.0081
18.7,0.1386,-0.00755
18.8,0.1392,0.00825
18.9,0.13905,0.0088
19.001,0.13905,0.0215
19.1,0.1386,0.00975
19.2,0.13815,0.01095
19.301,0.1383,0.02275
19.4,0.1377,0.0122
19.5,0.1374,0.0129
19.6,0.13695,0.01435
19.7,0.1371,0.0139
19.8,0.13575,0.0014
19.901,0.13635,0.0154
20,0.1362,0.016
20.1,0.1356,0.0177
20.201,0.1359,0.02665
20.3,0.13545,0.01875
20.4,0.13515,0.01915
20.5,0.13485,0.02
20.601,0.135,0.0283
20.7,0.1344,0.02125
20.8,0.1341,0.0217
20.9,0.1338,0.0225
21,0.13365,0.023
21.101,0.13395,0.03035
21.201,0.1338,0.03045
21.3,0.1329,0.02455
21.401,0.13335,0.0312
21.501,0.13305,0.03125
21.6,0.13215,0.02625
21.7,0.132,0.02665
21.8,0.1317,0.02715
21.9,0.1317,0.02755
21.999,0.1311,0.02025
22.1,0.13125,0.0286
22.2,0.1311,0.029
22.3,0.1308,0.02935
22.399,0.13005,0.02305
22.5,0.1305,0.03025
22.6,0.13035,0.03025
22.7,0.13005,0.0308
22.8,0.1299,0.03135
22.9,0.1296,0.03145
22.999,0.12885,0.02645
23.099,0.1287,0.027
23.2,0.12885,0.03255
23.299,0.12825,0.028
23.4,0.1284,0.03325
23.501,0.1287,0.03365
23.601,0.12825,0.0337
23.7,0.1275,0.03005
23.8,0.1278,0.0339
23.9,0.12765,0.03405
24.001,0.12765,0.0325
24.1,0.1272,0.03425
24.2,0.12705,0.0342
24.3,0.1266,0.03415
24.4,0.1266,0.034
24.5,0.1263,0.03415
24.6,0.1257,0.0332
24.7,0.126,0.03385
24.8,0.12585,0.03365
24.9,0.1257,0.0335
25.001,0.12585,0.02595
25.101,0.12525,0.03255
25.2,0.1251,0.0324
25.3,0.1248,0.03195
25.4,0.12465,0.0315
25.5,0.1245,0.0308
25.6,0.12435,0.02945
25.7,0.12405,0.0293
25.8,0.1236,0.0339
25.9,0.12375,0.02815
26,0.12345,0.02675
26.1,0.1233,0.02665
26.201,0.1236,0.01625
26.301,0.123,0.02445
26.401,0.12285,0.0245
26.5,0.1227,0.0237
26.6,0.12255,0.02225
26.7,0.12225,0.02165
26.8,0.1221,0.0212
26.9,0.12195,0.0205
27,0.12195,0.01885
27.1,0.12165,0.01835
27.199,0.1212,0.026
27.299,0.1209,0.02555
27.4,0.1212,0.0152
27.501,0.123,0.00315
27.601,0.12255,0.0017
27.7,0.1209,0.0125
27.799,0.12015,0.0225
27.899,0.12,0.02095
27.999,0.11985,0.02045
28.1,0.12135,0.00935
28.201,0.12255,-0.004
28.301,0.12135,0.00665
28.4,0.1212,0.00525
28.5,0.1212,0.00435
28.601,0.1221,-0.00765
28.701,0.12045,0.00265
28.8,0.1203,0.00175
28.9,0.1203,0.00075
29.001,0.1215,-0.0123
29.101,0.1203,-0.00065
29.2,0.1203,-0.0023
29.3,0.12,-0.0031
29.399,0.11925,0.0079
29.5,0.12015,-0.0044
29.6,0.1194,-0.00595
29.7,0.1203,-0.0069
29.801,0.1212,-0.02005
29.901,0.12255,-0.02265
30,0.11985,-0.0097
30.101,0.1212,-0.0245
30.2,0.11955,-0.01205
30.3,0.1194,-0.01285
30.401,0.11985,-0.02715
30.501,0.1191,-0.0154
30.6,0.1191,-0.0165
30.699,0.1179,-0.0044
30.8,0.1197,-0.0186
30.9,0.11985,-0.0198
31,0.1197,-0.02105
31.1,0.11985,-0.02215
31.201,0.1188,-0.03525
31.3,0.11925,-0.02475
31.4,0.11865,-0.026
31.501,0.1182,-0.03825
31.601,0.1176,-0.02765
31.7,0.1176,-0.02875
31.801,0.1179,-0.03995
31.9,0.1173,-0.03065
32.001,0.1179,-0.04185
32.1,0.11715,-0.0323
32.201,0.1179,-0.0429
32.3,0.117,-0.03405
32.4,0.1167,-0.03515
32.499,0.1173,-0.0239
32.6,0.11655,-0.0246
32.701,0.11625,-0.0372
32.8,0.1161,-0.0383
32.9,0.11595,-0.0392
33,0.11595,-0.0395
33.1,0.1158,-0.0401
33.201,0.1158,-0.0409
33.3,0.11565,-0.04155
33.4,0.11565,-0.0417
33.5,0.1134,-0.04975
33.6,0.1155,-0.0433
33.7,0.1155,-0.04365
33.801,0.11205,-0.0504
33.901,0.11505,-0.0449
34,0.11475,-0.0452
34.1,0.11445,-0.04565
34.2,0.11415,-0.054
34.301,0.11385,-0.0465
34.4,0.1134,-0.04675
34.5,0.1131,-0.0475
34.6,0.1128,-0.04825
34.699,0.1134,-0.04115
34.8,0.11205,-0.0491
34.901,0.1074,-0.0535
35,0.1134,-0.04265
35.1,0.1107,-0.04985
35.2,0.1101,-0.05045
35.301,0.10575,-0.0537
35.4,0.10935,-0.0508
35.5,0.1089,-0.0514
35.601,0.105,-0.05405
35.701,0.10455,-0.0536
35.8,0.1077,-0.0523
35.901,0.10395,-0.0502
36,0.1068,-0.0527
36.1,0.1065,-0.0532
36.2,0.10605,-0.0534
36.3,0.10545,-0.0536
36.4,0.105,-0.0536
36.5,0.1089,-0.0497
36.6,0.10425,-0.0538
36.7,0.1038,-0.05385
36.801,0.1017,-0.0521
36.9,0.10305,-0.0538
37.001,0.10155,-0.0517
37.1,0.10245,-0.05395
37.201,0.10095,-0.05095
37.301,0.10035,-0.0429
37.4,0.10155,-0.05375
37.501,0.10035,-0.05
37.601,0.10035,-0.0499
37.7,0.1005,-0.05345
37.8,0.10035,-0.0532
