Zeit t / s,Spannung U_A1 / V,Spannung U_B1 / V
0,0.18,0
0.5,0.18,0
1,0.18,0
1.5,0.18,0
2,0.18,0
2.501,0.18,0
3,0.18,0
3.499,0.18,0
4,0.1805,0
4.501,0.1805,0
4.999,0.1805,0
5.5,0.1805,0
6,0.1805,0
6.5,0.1805,0
7,0.1805,0
7.5,0.1805,0
8,0.1805,0
8.5,0.1805,0
9,0.1805,0
9.5,0.181,0
10,0.181,0
10.5,0.181,0
11,0.181,0
11.499,0.181,0
12.001,0.181,0
12.5,0.181,0
13,0.181,0
13.499,0.181,0
13.999,0.181,0
14.499,0.181,0
15,0.181,0
15.5,0.181,0
15.999,0.181,0
16.5,0.181,0
17,0.181,0
17.5,0.181,0
17.999,0.181,0
18.5,0.181,0
19,0.181,0
19.499,0.181,0
19.999,0.1805,0
20.499,0.1805,0
21,0.1805,0
21.499,0.1805,0
22,0.1805,0
22.5,0.18,0
23,0.18,0
23.499,0.18,0
24,0.18,0
24.499,0.1795,0
24.999,0.1795,0
25.5,0.1795,0
25.999,0.1795,0
26.499,0.179,0
26.999,0.179,0
27.5,0.179,0
28,0.1785,0
28.5,0.1785,0
29.001,0.1785,0
29.501,0.178,0
29.999,0.178,0
30.5,0.1775,0
30.999,0.1775,0
31.5,0.177,0
31.999,0.177,0
32.499,0.177,0
33.001,0.1765,0
33.5,0.1765,0
34,0.176,0
34.5,0.176,0
35,0.1755,0
35.499,0.1755,0
36,0.175,0
36.5,0.175,0
36.999,0.175,0
37.499,0.1745,0
38,0.1745,0
38.499,0.174,0
39,0.174,0
39.499,0.1735,0
39.999,0.1735,0
40.499,0.1735,0
40.999,0.173,0
41.5,0.173,0
42,0.1725,0
42.499,0.1725,0
42.999,0.1725,0
43.499,0.172,0
43.999,0.172,0
44.5,0.1715,0
45,0.1715,0
45.499,0.171,0
46,0.171,0
46.5,0.1705,0
47,0.1705,0
47.499,0.17,0
47.999,0.17,0
48.5,0.1695,0
48.999,0.1695,0
49.499,0.169,0
50,0.169,0
50.499,0.1685,0
50.999,0.1685,0
51.5,0.168,0
52,0.168,0
52.5,0.1675,0
52.999,0.1675,0
53.5,0.167,0
53.999,0.167,0
54.499,0.1665,0
55,0.1665,0
55.499,0.1665,0
56,0.166,0
56.499,0.166,0
57,0.1655,0.005
57.5,0.1655,0.005
58,0.165,0.005
58.499,0.165,0.01
59,0.1645,0.015
59.501,0.1645,0.02
59.999,0.164,0.025
60.501,0.164,0.03
61,0.1635,0.035
61.499,0.1635,0.045
62,0.163,0.05
62.499,0.163,0.06
62.999,0.1625,0.065
63.5,0.1625,0.075
64,0.162,0.085
64.5,0.162,0.095
65,0.162,0.11
65.499,0.1615,0.12
66,0.1615,0.13
66.499,0.161,0.145
67,0.161,0.155
67.5,0.1605,0.17
68,0.1605,0.185
68.499,0.16,0.2
68.999,0.16,0.215
69.5,0.1595,0.23
69.999,0.1595,0.245
70.499,0.1595,0.26
70.999,0.159,0.275
71.499,0.159,0.285
71.999,0.1585,0.3
72.499,0.1585,0.315
72.999,0.158,0.33
73.502,0.158,0.34
74,0.1575,0.35
74.499,0.1575,0.365
74.999,0.157,0.375
75.499,0.157,0.385
75.999,0.1565,0.39
76.5,0.1565,0.405
77,0.156,0.41
77.501,0.156,0.42
78,0.156,0.425
78.5,0.1555,0.43
78.999,0.1555,0.44
79.499,0.155,0.445
79.999,0.155,0.45
80.5,0.1545,0.455
81,0.1545,0.46
81.499,0.154,0.465
82,0.154,0.47
82.5,0.1535,0.475
82.999,0.1535,0.48
83.499,0.1535,0.48
83.999,0.153,0.485
84.5,0.153,0.485
84.999,0.1525,0.49
85.5,0.1525,0.49
86,0.152,0.495
86.5,0.152,0.495
86.999,0.1515,0.495
87.499,0.1515,0.5
87.999,0.1515,0.505
88.5,0.151,0.505
88.999,0.151,0.505
89.5,0.1505,0.51
90,0.1505,0.51
90.5,0.15,0.51
91,0.15,0.515
91.501,0.1495,0.515
92,0.1495,0.515
92.499,0.1495,0.52
93,0.149,0.52
93.5,0.149,0.52
94.001,0.1485,0.525
94.501,0.1485,0.525
95,0.148,0.525
95.5,0.148,0.53
95.999,0.1475,0.53
96.5,0.1475,0.53
97,0.1475,0.535
97.5,0.147,0.535
98,0.147,0.535
98.5,0.1465,0.535
99,0.1465,0.54
99.5,0.146,0.54
100,0.146,0.54
100.5,0.146,0.54
101.001,0.1455,0.54
101.499,0.1455,0.545
102,0.145,0.545
102.5,0.145,0.545
102.999,0.1445,0.545
103.499,0.1445,0.545
104.001,0.1445,0.55
104.501,0.144,0.55
104.999,0.144,0.55
105.499,0.1435,0.55
106,0.1435,0.555
106.5,0.143,0.555
106.999,0.143,0.555
107.499,0.143,0.555
108,0.1425,0.555
108.5,0.1425,0.555
109,0.142,0.56
109.499,0.142,0.56
110,0.142,0.56
110.499,0.1415,0.56
110.999,0.1415,0.56
111.5,0.141,0.56
112,0.141,0.565
112.5,0.1405,0.565
113.001,0.1405,0.565
113.499,0.1405,0.565
114,0.14,0.565
114.501,0.14,0.565
115.001,0.1395,0.565
115.499,0.1395,0.57
116,0.1395,0.565
116.499,0.139,0.57
116.999,0.139,0.57
117.5,0.1385,0.57
118,0.1385,0.57
118.5,0.1385,0.57
118.999,0.138,0.57
119.499,0.138,0.575
120,0.1375,0.575
120.5,0.1375,0.575
121.001,0.1375,0.575
121.499,0.137,0.575
122,0.137,0.575
122.5,0.1365,0.575
123,0.1365,0.58
123.5,0.1365,0.58
124,0.136,0.58
124.499,0.136,0.58
125.001,0.1355,0.585
125.499,0.1355,0.585
126,0.1355,0.585
126.499,0.135,0.585
127,0.135,0.585
127.5,0.135,0.585
128,0.1345,0.585
128.5,0.1345,0.59
129,0.134,0.59
129.499,0.134,0.59
130,0.134,0.59
130.499,0.1335,0.59
131,0.1335,0.59
131.499,0.133,0.59
132,0.133,0.595
132.499,0.133,0.595
132.999,0.1325,0.595
133.5,0.1325,0.595
133.999,0.1325,0.595
134.5,0.132,0.595
134.999,0.132,0.595
135.499,0.1315,0.595
135.999,0.1315,0.6
136.5,0.1315,0.6
137,0.131,0.6
137.501,0.131,0.6
138,0.131,0.6
138.5,0.1305,0.6
139,0.1305,0.6
139.5,0.1305,0.6
139.999,0.13,0.605
140.5,0.13,0.605
141,0.1295,0.605
141.5,0.1295,0.605
141.999,0.1295,0.605
142.499,0.129,0.605
143,0.129,0.605
143.501,0.129,0.605
144,0.1285,0.605
144.5,0.1285,0.605
145,0.1285,0.605
145.499,0.128,0.61
146.001,0.128,0.61
146.499,0.128,0.61
147,0.1275,0.61
147.5,0.1275,0.61
148.001,0.1275,0.61
148.5,0.127,0.61
149,0.127,0.61
149.5,0.127,0.61
150,0.1265,0.61
150.501,0.1265,0.61
150.999,0.1265,0.615
151.5,0.126,0.615
152,0.126,0.615
152.5,0.126,0.615
153,0.1255,0.615
153.501,0.1255,0.615
154,0.125,0.615
154.5,0.125,0.615
155.001,0.125,0.615
155.5,0.1245,0.615
155.999,0.1245,0.62
156.5,0.1245,0.62
156.999,0.124,0.62
157.5,0.124,0.62
157.999,0.124,0.62
158.501,0.1235,0.62
159,0.1235,0.62
159.5,0.1235,0.62
159.999,0.123,0.625
160.501,0.123,0.625
160.999,0.123,0.62
161.5,0.1225,0.625
162,0.1225,0.625
162.5,0.1225,0.625
163.001,0.122,0.625
163.5,0.122,0.625
164,0.122,0.625
164.5,0.1215,0.625
165,0.1215,0.625
165.499,0.1215,0.63
165.999,0.121,0.63
166.5,0.121,0.63
167,0.121,0.63
167.5,0.1205,0.63
168,0.1205,0.63
168.5,0.1205,0.63
169,0.12,0.63
169.501,0.12,0.635
170,0.12,0.635
170.501,0.1195,0.635
171,0.1195,0.635
171.5,0.1195,0.635
172,0.119,0.635
172.499,0.119,0.64
173,0.1185,0.64
173.501,0.1185,0.64
174,0.1185,0.64
174.501,0.118,0.64
175,0.118,0.64
175.501,0.1175,0.64
176,0.1175,0.645
176.5,0.1175,0.645
177,0.117,0.64
177.499,0.117,0.645
178.001,0.1165,0.645
178.499,0.1165,0.645
179.001,0.1165,0.645
179.499,0.116,0.645
180,0.116,0.645
180.5,0.1155,0.645
181,0.1155,0.645
181.5,0.1155,0.65
182,0.115,0.65
182.5,0.115,0.65
183,0.1145,0.65
183.499,0.1145,0.65
184,0.1145,0.65
184.5,0.114,0.65
185,0.114,0.655
185.5,0.1135,0.65
185.999,0.1135,0.655
186.499,0.1135,0.65
187,0.113,0.655
187.501,0.113,0.65
188,0.113,0.655
188.501,0.1125,0.655
189,0.1125,0.655
189.5,0.1125,0.655
190,0.112,0.655
190.5,0.112,0.655
191,0.112,0.655
191.501,0.1115,0.655
192,0.1115,0.655
192.5,0.111,0.655
193.001,0.111,0.655
193.5,0.111,0.66
194,0.1105,0.66
194.5,0.1105,0.66
194.999,0.1105,0.66
195.499,0.11,0.66
196.001,0.11,0.66
196.5,0.11,0.66
197,0.1095,0.66
197.5,0.1095,0.665
198,0.1095,0.665
198.5,0.109,0.665
199,0.109,0.66
199.501,0.109,0.665
200.001,0.1085,0.665
200.5,0.1085,0.665
201.001,0.1085,0.665
201.5,0.108,0.665
202.001,0.108,0.67
202.5,0.108,0.665
203,0.1075,0.665
203.5,0.1075,0.665
204.001,0.1075,0.67
204.501,0.107,0.67
205,0.107,0.67
205.5,0.107,0.67
206.001,0.107,0.67
206.5,0.1065,0.67
207,0.1065,0.67
207.501,0.1065,0.67
208.001,0.106,0.67
208.501,0.106,0.675
209,0.106,0.675
209.5,0.1055,0.675
210.001,0.1055,0.675
210.501,0.1055,0.675
211,0.105,0.675
211.501,0.105,0.675
212,0.105,0.675
212.5,0.105,0.675
213,0.1045,0.675
213.499,0.1045,0.675
214.001,0.1045,0.68
214.501,0.104,0.68
215.001,0.104,0.68
215.5,0.104,0.68
215.999,0.1035,0.68
216.5,0.1035,0.68
217,0.1035,0.68
217.5,0.1035,0.68
218,0.103,0.68
218.499,0.103,0.68
219.001,0.103,0.685
219.501,0.1025,0.685
220,0.1025,0.68
220.501,0.1025,0.685
221,0.102,0.685
221.5,0.102,0.685
222,0.102,0.685
222.501,0.102,0.685
223,0.1015,0.685
223.501,0.1015,0.685
224.001,0.1015,0.685
224.5,0.101,0.685
225,0.101,0.685
225.501,0.101,0.685
225.999,0.101,0.685
226.5,0.1005,0.69
227,0.1005,0.685
227.5,0.1005,0.69
228,0.1,0.69
228.501,0.1,0.69
229,0.1,0.69
229.5,0.1,0.69
230,0.0995,0.69
230.5,0.0995,0.69
231,0.0995,0.69
231.5,0.099,0.69
232,0.099,0.69
232.501,0.099,0.69
233,0.099,0.69
233.501,0.0985,0.69
234,0.0985,0.69
234.5,0.0985,0.69
235,0.0985,0.69
235.499,0.098,0.695
236.001,0.098,0.69
236.5,0.098,0.695
237.001,0.0975,0.695
237.5,0.0975,0.695
238.001,0.0975,0.695
238.501,0.0975,0.695
239.001,0.097,0.695
239.5,0.097,0.695
240.001,0.097,0.695
240.5,0.097,0.695
240.999,0.0965,0.695
241.5,0.0965,0.7
242.001,0.0965,0.7
242.501,0.096,0.7
243,0.096,0.7
243.501,0.096,0.7
244,0.096,0.7
244.501,0.0955,0.7
245.001,0.0955,0.7
245.5,0.0955,0.7
246,0.0955,0.7
246.501,0.095,0.7
247.001,0.095,0.705
247.501,0.095,0.705
248,0.095,0.705
248.501,0.0945,0.705
249.001,0.0945,0.705
249.5,0.0945,0.705
250,0.0945,0.705
250.499,0.094,0.705
251,0.094,0.705
251.5,0.094,0.705
252.001,0.0935,0.705
252.5,0.0935,0.705
253,0.0935,0.71
253.5,0.0935,0.705
254,0.093,0.71
254.499,0.093,0.71
255.001,0.093,0.71
255.501,0.093,0.71
256.001,0.0925,0.71
256.5,0.0925,0.71
257.001,0.0925,0.71
257.5,0.0925,0.71
258.001,0.092,0.71
258.501,0.092,0.71
259,0.092,0.71
259.501,0.092,0.71
260,0.0915,0.71
260.5,0.0915,0.71
261,0.0915,0.71
261.5,0.0915,0.71
262,0.091,0.71
262.501,0.091,0.71
263,0.091,0.71
263.501,0.091,0.715
264,0.0905,0.715
264.501,0.0905,0.71
265,0.0905,0.71
265.5,0.0905,0.715
265.999,0.09,0.715
266.5,0.09,0.715
267,0.09,0.715
267.501,0.09,0.715
268,0.0895,0.715
268.5,0.0895,0.715
269.001,0.0895,0.715
269.501,0.0895,0.715
270,0.089,0.715
270.501,0.089,0.715
271,0.089,0.72
271.501,0.089,0.715
272,0.0885,0.72
272.501,0.0885,0.72
273.001,0.0885,0.72
273.501,0.0885,0.72
274.001,0.088,0.72
274.5,0.088,0.72
275,0.088,0.72
275.5,0.088,0.72
276.001,0.0875,0.72
276.5,0.0875,0.72
277.002,0.0875,0.72
277.5,0.0875,0.72
278,0.0875,0.72
278.501,0.087,0.725
279.001,0.087,0.72
279.501,0.087,0.725
280.001,0.087,0.725
280.5,0.0865,0.725
281,0.0865,0.725
281.5,0.0865,0.725
282.001,0.0865,0.725
282.501,0.086,0.725
283,0.086,0.725
283.5,0.086,0.725
284.001,0.0855,0.725
284.501,0.0855,0.725
285,0.0855,0.725
285.5,0.0855,0.73
286,0.085,0.73
286.5,0.085,0.73
287.001,0.085,0.73
287.5,0.0845,0.73
288.001,0.0845,0.73
288.501,0.0845,0.73
289.001,0.084,0.73
289.5,0.084,0.73
290,0.084,0.73
290.5,0.084,0.73
291.001,0.0835,0.735
291.5,0.0835,0.735
292,0.0835,0.735
292.501,0.0835,0.735
293.001,0.083,0.735
293.5,0.083,0.735
294,0.083,0.735
294.501,0.0825,0.735
295.001,0.0825,0.735
295.5,0.0825,0.735
296.001,0.0825,0.735
296.5,0.082,0.735
297,0.082,0.735
297.501,0.082,0.735
298,0.082,0.735
298.501,0.0815,0.74
298.999,0.0815,0.74
299.5,0.0815,0.74
300,0.081,0.74
300.5,0.081,0.74
301,0.081,0.74
301.5,0.081,0.74
302,0.0805,0.74
302.5,0.0805,0.74
303,0.0805,0.745
303.5,0.0805,0.74
304.001,0.08,0.74
304.5,0.08,0.74
305,0.08,0.74
305.501,0.08,0.745
306,0.0795,0.745
306.501,0.0795,0.74
307.001,0.0795,0.745
307.5,0.0795,0.745
308,0.079,0.745
308.5,0.079,0.745
309.001,0.079,0.745
309.501,0.079,0.745
310,0.0785,0.745
310.5,0.0785,0.745
311,0.0785,0.745
311.5,0.0785,0.745
312,0.078,0.745
312.5,0.078,0.745
313,0.078,0.745
313.5,0.078,0.745
314,0.0775,0.745
314.5,0.0775,0.745
315,0.0775,0.745
315.501,0.0775,0.75
316,0.0775,0.75
316.5,0.077,0.75
316.999,0.077,0.75
317.5,0.077,0.75
318,0.077,0.75
318.5,0.0765,0.75
319,0.0765,0.75
319.501,0.0765,0.75
320,0.0765,0.75
320.5,0.076,0.75
321,0.076,0.75
321.501,0.076,0.75
322.001,0.076,0.75
322.5,0.076,0.75
323.001,0.0755,0.755
323.5,0.0755,0.75
324.001,0.0755,0.75
324.5,0.0755,0.755
325.001,0.075,0.75
325.501,0.075,0.755
326,0.075,0.755
326.5,0.075,0.755
327,0.0745,0.755
327.5,0.0745,0.755
328.001,0.0745,0.76
328.5,0.0745,0.76
329.001,0.0745,0.755
329.5,0.074,0.76
330,0.074,0.76
330.501,0.074,0.755
331,0.074,0.76
331.5,0.0735,0.76
332,0.0735,0.76
332.501,0.0735,0.76
333,0.0735,0.76
333.5,0.0735,0.76
334.001,0.073,0.76
334.5,0.073,0.76
335,0.073,0.76
335.5,0.073,0.76
336,0.073,0.76
336.5,0.0725,0.76
337.001,0.0725,0.76
337.501,0.0725,0.76
338,0.0725,0.76
338.5,0.072,0.76
339.001,0.072,0.76
339.501,0.072,0.765
340,0.072,0.76
340.5,0.072,0.76
341,0.0715,0.76
341.5,0.0715,0.765
342.001,0.0715,0.76
